Scope,MC/RR,Plat,Def,Argentina,Chile,Colombia,Ecuador,Peru,Uruguay,Venezuela,Mexico,Brazil
ALL,Brand Rate Full,FULL,B1,,," 15,248.00 ",,,,,,
ALL,Brand Rate Full,FULL,B2,,," 17,897.25 ",, 73.64 ,, -   , 214.40 , 58.57 
ALL,Brand Rate Full,FULL,B3,,," 31,500.00 ", 13.65 , 99.07 ,, -   , 273.00 , 66.92 
ALL,Brand Rate Full,FULL,B4," 7,728.68 "," 18,395.69 "," 52,500.00 ", 46.20 , 111.12 ,," 17,293.26 ", 393.75 , 95.66 
ALL,Brand Rate Full,FULL,B5," 9,272.34 "," 26,685.12 "," 73,500.00 ", 55.43 , 139.39 ," 2,958.44 "," 18,528.50 ", 428.40 , 109.15 
ALL,Brand Rate Full,FULL,B6," 30,214.80 "," 36,888.39 "," 105,000.00 ", 64.67 , 157.11 ," 3,269.85 "," 19,763.73 ", 456.75 , 141.83 
ALL,Brand Rate Full,FULL,B7," 40,166.28 "," 54,081.72 "," 126,000.00 ", 79.19 , 216.46 ," 3,581.27 "," 20,998.96 ", 673.05 , 186.82 
ALL,Brand Rate Full,FULL,B8," 65,472.91 "," 81,253.10 "," 147,000.00 ",, 303.04 ,," 22,234.20 "," 1,320.90 ", 263.20 
ALL,Brand Rate Full,FULL,B9," 82,359.59 "," 94,267.64 "," 168,000.00 ",, 518.36 ,,," 2,105.25 ", 414.60 
ALL,Brand Rate Full,FULL,B10,,,,,,,,, 633.20 
