Offering,L40,Load in conga
IBM Hardware Resell for Server and Storage-Lenovo,6942-1BT,Location Based Services
1-HWMA MVS SPT other Prod,6942-0IC,Conga by CSV
2-HWMA MVS SPT other Prod,6942-0IC,Conga by CSV
SWMA MVS SPT other Prod,6942-76O,Conga by CSV
IBM Support for Red Hat,6948-B73,Conga by CSV
IBM Support for Red Hat - Enterprise Linux Subscription,6942-42T,Location Based Services
Subscription for Red Hat,6948-66J,Location Based Services
Support for Red Hat,6949-66K,Location Based Services
IBM Support for Oracle,6942-42E,Location Based Services
IBM Customized Support for Multivendor Hardware Services,6942-76T,Location Based Services
IBM Customized Support for Multivendor Software Services,6942-76U,Location Based Services
IBM Customized Support for Hardware Services-Logo,6942-76V,Location Based Services
IBM Customized Support for Software Services-Logo,6942-76W,Location Based Services
HWMA MVS SPT other Loc,6942-0ID,Location Based Services
SWMA MVS SPT other Loc,6942-0IG,Location Based Services
Relocation Services - Packaging,6942-54E,Location Based Services
Relocation Services - Movers Charge,6942-54F,Location Based Services
Relocation Services - Travel and Living,6942-54R,Location Based Services
Relocation Services - External Vendor's Charge,6942-78O,Location Based Services
IBM Hardware Resell for Networking and Security Alliances,6942-1GE,Location Based Services
IBM Software Resell for Networking and Security Alliances,6942-1GF,Location Based Services
System Technical Support Service-MVS-STSS,6942-1FN,Location Based Services
System Technical Support Service-Logo-STSS,6942-1KJ,Location Based Services
